Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H1S0,H1S1,H1S2,HS0,HS1,HS2
0,8912,11140,17267,37319,189,73,16,194,65,20,363,163,31
1,5570,4456,16710,26736,182,85,10,182,89,8,362,165,30
2,10583,6127,22280,38990,191,67,19,181,83,11,372,145,40
3,6684,3342,20609,30635,185,81,12,179,93,6,369,151,37
4,7798,8912,18938,35648,186,77,14,189,73,16,366,157,34
5,8355,6127,15596,30078,189,75,15,185,83,11,360,169,28
6,6684,8912,18938,34534,186,81,12,187,73,16,366,157,34
7,11140,5570,18938,35648,194,65,20,184,85,10,366,157,34
8,8912,8912,18938,36762,187,73,16,189,73,16,366,157,34
9,9469,7798,14482,31749,189,71,17,188,77,14,358,173,26
10,7241,8912,19495,35648,186,79,13,189,73,16,367,155,35
11,10026,7241,16710,33977,188,69,18,185,79,13,362,165,30
12,8355,5570,18381,32306,187,75,15,183,85,10,365,159,33
13,6684,7798,16710,31192,186,81,12,188,77,14,362,165,30
14,4456,7798,17824,30078,180,89,8,188,77,14,364,161,32
15,7241,6127,17824,31192,183,79,13,185,83,11,364,161,32
16,7241,8912,18938,35091,187,79,13,190,73,16,366,157,34
17,10026,7241,17267,34534,188,69,18,186,79,13,363,163,31
18,5013,7798,20052,32863,182,87,9,185,77,14,368,153,36
19,8355,7241,17824,33420,189,75,15,185,79,13,364,161,32
20,3342,7241,16710,27293,180,93,6,185,79,13,362,165,30
21,8355,7241,17824,33420,188,75,15,184,79,13,364,161,32
22,6127,6127,18381,30635,166,83,11,183,83,11,365,159,33
23,9469,6127,20052,35648,189,71,17,185,83,11,368,153,36
24,10026,7241,17824,35091,190,69,18,185,79,13,364,161,32
25,8912,6127,17824,32863,190,73,16,184,83,11,364,161,32
26,6127,6127,22837,35091,184,83,11,182,83,11,373,143,41
27,5570,10583,13925,30078,183,85,10,193,67,19,357,175,25
28,6684,9469,16153,32306,183,81,12,182,71,17,361,167,29
29,6127,12811,18381,37319,185,83,11,196,59,23,365,159,33
30,8912,6684,16710,32306,190,73,16,186,81,12,362,165,30
31,6684,7798,21166,35648,186,81,12,187,77,14,370,149,38
32,7798,1114,19495,28407,187,77,14,175,101,2,367,155,35
33,7241,7241,18381,32863,187,79,13,181,79,13,365,159,33
34,10583,6127,17267,33977,191,67,19,181,83,11,363,163,31
35,4456,9469,13925,27850,176,89,8,191,71,17,357,175,25
36,8355,9469,17824,35648,189,75,15,191,71,17,364,161,32
37,7241,6684,15596,29521,185,79,13,186,81,12,360,169,28
38,6684,9469,20052,36205,183,81,12,190,71,17,368,153,36
39,5013,7798,16710,29521,182,87,9,161,77,14,362,165,30
40,7798,7241,20052,35091,188,77,14,185,79,13,368,153,36
41,10026,8355,18381,36762,187,69,18,188,75,15,365,159,33
42,6127,4456,16153,26736,185,83,11,182,89,8,361,167,29
43,7241,5570,18938,31749,184,79,13,183,85,10,366,157,34
44,5570,5570,19495,30635,182,85,10,184,85,10,367,155,35
45,10026,6684,14482,31192,189,69,18,186,81,12,358,173,26
46,6684,7241,18938,32863,182,81,12,187,79,13,366,157,34
47,7798,7798,18381,33977,187,77,14,188,77,14,365,159,33
48,8912,6684,16710,32306,190,73,16,183,81,12,362,165,30
49,8355,3342,17267,28964,186,75,15,180,93,6,363,163,31
50,6684,8912,20052,35648,184,81,12,188,73,16,368,153,36
51,5570,7241,21166,33977,182,85,10,186,79,13,370,149,38
52,6127,5570,17824,29521,180,83,11,184,85,10,364,161,32
53,6684,4456,16153,27293,186,81,12,182,89,8,361,167,29
54,7241,5570,16710,29521,184,79,13,183,85,10,362,165,30
55,7241,6127,20052,33420,186,79,13,183,83,11,368,153,36
56,7798,5570,16153,29521,179,77,14,183,85,10,361,167,29
57,7798,6684,18381,32863,185,77,14,185,81,12,365,159,33
58,7241,6684,18381,32306,181,79,13,180,81,12,365,159,33
59,9469,2785,15039,27293,188,71,17,179,95,5,359,171,27
60,6684,7241,20052,33977,186,81,12,176,79,13,368,153,36
61,5570,5013,22280,32863,184,85,10,183,87,9,372,145,40
62,8912,6127,21166,36205,182,73,16,180,83,11,370,149,38
63,6127,6127,16153,28407,185,83,11,183,83,11,361,167,29
64,9469,7241,18381,35091,189,71,17,185,79,13,365,159,33
65,6684,7241,20052,33977,185,81,12,184,79,13,368,153,36
66,8912,7798,17824,34534,190,73,16,187,77,14,364,161,32
67,8355,7241,16710,32306,188,75,15,186,79,13,362,165,30
68,7798,7241,22280,37319,187,77,14,187,79,13,372,145,40
69,6684,7241,15596,29521,186,81,12,184,79,13,360,169,28
70,6684,5013,20052,31749,185,81,12,182,87,9,368,153,36
71,8355,5570,18381,32306,188,75,15,183,85,10,365,159,33
72,7241,6127,20609,33977,187,79,13,182,83,11,369,151,37
73,7798,11697,13925,33420,186,77,14,191,63,21,357,175,25
74,3342,3899,20052,27293,179,93,6,181,91,7,368,153,36
75,8355,7798,20609,36762,185,75,15,183,77,14,369,151,37
76,8912,6684,18381,33977,189,73,16,186,81,12,365,159,33
77,5570,10583,17824,33977,184,85,10,192,67,19,364,161,32
78,7241,7241,18938,33420,186,79,13,184,79,13,366,157,34
79,6127,8355,13925,28407,179,83,11,189,75,15,357,175,25
80,3899,8912,22280,35091,178,91,7,186,73,16,372,145,40
81,10026,6684,18938,35648,189,69,18,185,81,12,366,157,34
82,8912,6127,18381,33420,187,73,16,182,83,11,365,159,33
83,13368,4456,15596,33420,193,57,24,181,89,8,360,169,28
84,9469,6684,20052,36205,190,71,17,186,81,12,368,153,36
85,7241,5013,23951,36205,187,79,13,181,87,9,375,139,43
