Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H0S3,H1S0,H1S1,H1S2,H1S3,HS0,HS1,HS2,HS3
0,9392,4696,23480,37568,197,79,10,2,192,89,8,0,400,151,34,2
1,12914,9392,21132,43438,206,73,10,4,204,76,13,1,396,159,30,2
2,14675,8805,19958,43438,208,61,19,2,203,78,12,1,393,166,25,3
3,12327,11153,28176,51656,208,69,15,2,205,70,16,1,405,144,33,5
4,9979,6457,19958,36394,204,77,11,2,199,83,11,0,394,163,28,2
5,12327,12327,17023,41677,201,66,18,1,208,69,15,2,390,170,26,1
6,11153,9392,24654,45199,205,73,13,2,204,76,13,1,400,153,30,4
7,12327,11153,24654,48134,207,69,15,2,203,73,13,2,402,147,36,2
8,6457,3522,24067,34046,200,83,11,0,191,93,6,0,397,161,23,6
9,15262,7044,25828,48134,211,65,14,4,200,81,12,0,402,149,32,4
10,17023,11740,18197,46960,215,56,20,3,206,74,11,3,392,166,28,1
11,9392,12327,28763,50482,203,76,13,1,205,69,15,2,405,145,31,6
12,7044,8805,23480,39329,196,81,12,0,202,81,9,2,400,151,34,2
13,8805,14088,22306,45199,203,78,12,1,211,63,18,2,397,158,29,3
14,7044,12914,20545,40503,198,84,9,1,208,67,16,2,393,167,23,4
15,14088,7631,19371,41090,210,66,15,3,200,82,10,1,393,165,27,2
16,6457,8218,24067,38742,198,83,11,0,201,80,11,1,399,155,29,4
17,12914,12914,19958,45786,207,67,16,2,209,67,16,2,393,166,25,3
18,12327,10566,27002,49895,206,69,15,2,206,72,15,1,402,151,28,6
19,11153,5870,27589,44612,205,76,10,3,198,85,10,0,405,143,35,4
20,20545,7044,19958,47547,219,50,20,5,200,81,12,0,395,160,31,1
21,7044,12327,17610,36981,198,84,9,1,208,69,15,2,392,165,30,0
22,7631,7631,23480,38742,201,79,13,0,200,82,10,1,395,166,19,7
23,9392,10566,24654,44612,202,76,13,1,206,72,15,1,397,162,21,7
24,5870,9392,21719,36981,198,85,10,0,204,76,13,1,396,160,28,3
25,11153,7044,21719,39916,205,70,16,1,196,81,12,0,397,157,31,2
26,8805,8805,19371,36981,202,78,12,1,202,75,15,0,394,162,30,1
27,15849,7631,23480,46960,211,66,12,5,199,79,13,0,397,160,25,5
28,6457,12914,16436,35807,199,83,11,0,207,73,10,4,387,178,19,3
29,4696,4696,24067,33459,195,89,8,0,196,92,5,1,399,155,29,4
30,12914,2348,18784,34046,202,73,10,4,193,97,4,0,393,164,29,1
31,4696,13501,24067,42264,192,89,8,0,209,68,14,3,398,158,26,5
32,10566,11740,21719,44025,205,75,12,2,205,68,17,1,394,166,22,5
33,5870,12914,21132,39916,197,85,10,0,207,67,16,2,393,168,21,5
34,14088,7044,19958,41090,208,66,15,3,198,81,12,0,392,169,22,4
35,2935,13501,19958,36394,193,95,5,0,207,68,14,3,394,163,28,2
36,8218,11740,21132,41090,202,77,14,0,208,68,17,1,394,165,24,4
37,10566,14088,19371,44025,200,78,9,3,209,69,12,4,394,162,30,1
38,12914,14088,22306,49308,201,67,16,2,207,63,18,2,395,164,23,5
39,16436,6457,22893,45786,206,64,13,5,200,83,11,0,396,162,24,5
40,14675,9392,15262,39329,210,64,16,3,202,79,10,2,386,179,20,2
41,10566,10566,16436,37568,205,75,12,2,202,75,12,2,390,169,28,0
