Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H0S3,H1S0,H1S1,H1S2,H1S3,HS0,HS1,HS2,HS3
0,7044,7631,22306,36981,197,81,12,0,201,82,10,1,396,161,26,4
1,9979,7044,24067,41090,205,71,17,0,198,81,12,0,401,149,35,2
2,12327,8805,19371,40503,208,69,15,2,202,81,9,2,392,168,24,3
3,9979,9979,24654,44612,205,74,14,1,198,74,14,1,401,150,33,3
4,9979,12327,17610,39916,204,74,14,1,208,69,15,2,391,168,27,1
5,11740,11153,16436,39329,206,71,14,2,205,70,16,1,388,175,22,2
6,7631,8805,19958,36394,202,79,13,0,193,78,12,1,393,166,25,3
7,7631,13501,17610,38742,199,79,13,0,209,65,17,2,391,168,27,1
8,10566,8805,20545,39916,203,72,15,1,202,75,15,0,395,161,29,2
9,11153,7631,21719,40503,201,73,13,2,199,79,13,0,396,160,28,3
10,11153,14088,28176,53417,208,67,19,0,206,66,15,3,405,144,33,5
11,10566,11153,24067,45786,205,72,15,1,194,73,13,2,400,152,32,3
12,5870,9979,19958,35807,199,85,10,0,205,71,17,0,394,163,28,2
13,5870,9979,22306,38155,197,88,7,1,204,71,17,0,399,152,35,1
14,8218,8805,17610,34633,201,83,8,2,202,78,12,1,390,171,24,2
15,12914,10566,26415,49895,203,64,19,1,202,72,15,1,406,138,42,1
16,3522,14088,19958,37568,193,93,6,0,208,66,15,3,394,163,28,2
17,9392,4696,19371,33459,204,76,13,1,195,89,8,0,393,165,27,2
18,11153,7631,15849,34633,194,73,13,2,199,79,13,0,388,174,24,1
19,7631,12327,26415,46373,200,79,13,0,201,78,6,5,403,147,33,4
20,6457,10566,19371,36394,199,83,11,0,202,72,15,1,392,168,24,3
21,10566,8805,22893,42264,205,75,12,2,200,78,12,1,395,165,21,6
22,7044,5870,21132,34046,200,84,9,1,195,85,10,0,394,165,24,4
23,11740,13501,19958,45199,207,71,14,2,209,68,14,3,395,160,31,1
24,10566,8218,27002,45786,206,72,15,1,201,83,8,2,401,154,25,7
25,14088,6457,17023,37568,208,66,15,3,199,83,11,0,390,170,26,1
26,9979,8805,26415,45199,205,74,14,1,197,81,9,2,403,147,33,4
27,10566,14088,21132,45786,205,72,15,1,208,69,12,4,394,165,24,4
28,13501,7631,25828,46960,208,62,20,1,202,79,13,0,402,149,32,4
29,8218,9979,18784,36981,200,77,14,0,206,71,17,0,393,164,29,1
30,9979,10566,22306,42851,204,71,17,0,205,75,12,2,397,158,29,3
31,8805,11740,18784,39329,202,81,9,2,202,71,14,2,394,161,32,0
32,9979,9392,21719,41090,204,71,17,0,204,73,16,0,395,163,25,4
33,10566,9979,25828,46373,205,72,15,1,204,77,11,2,403,146,35,3
34,11153,5283,24654,41090,206,70,16,1,188,87,9,0,401,150,33,3
35,11153,5283,21132,37568,208,67,19,0,197,87,9,0,397,156,33,1
36,9392,7044,26415,42851,204,73,16,0,199,84,9,1,401,153,27,6
37,9392,4696,21719,35807,205,73,16,0,195,89,8,0,393,169,19,6
38,9979,7631,24067,41677,203,71,17,0,201,79,13,0,400,152,32,3
39,6457,7044,20545,34046,199,86,8,1,201,81,12,0,394,164,26,3
40,7044,10566,14088,31698,201,81,12,0,205,72,15,1,386,177,24,0
41,6457,11153,20545,38155,200,83,11,0,204,73,13,2,395,161,29,2
42,9979,10566,22306,42851,201,77,11,2,202,72,15,1,396,161,26,4
43,14088,16436,24067,54591,198,66,15,3,214,58,19,3,397,161,23,6
44,8218,8218,27589,44025,202,80,11,1,194,80,11,1,402,152,26,7
45,5283,4109,25241,34633,197,90,6,1,195,91,7,0,400,154,28,5
46,10566,9392,19371,39329,204,75,12,2,201,73,16,0,394,162,30,1
47,8218,10566,20545,39329,199,77,14,0,203,75,12,2,397,155,35,0
48,7044,8218,19371,34633,199,81,12,0,197,80,11,1,391,171,21,4
49,6457,9979,24654,41090,198,83,11,0,198,77,11,2,401,150,33,3
50,4696,12914,24067,41677,192,89,8,0,209,67,16,2,398,158,26,5
51,11153,7631,22893,41677,207,70,16,1,200,82,10,1,398,156,30,3
