Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H1S0,H1S1,H1S2,HS0,HS1,HS2
0,7631,8805,17023,33459,196,79,13,201,75,15,391,167,29
1,9979,9392,15849,35220,202,71,17,205,73,16,389,171,27
2,5283,7044,17023,29350,198,87,9,201,81,12,391,167,29
3,11740,9392,18197,39329,209,65,20,202,73,16,393,163,31
4,8805,8218,15849,32872,200,75,15,200,77,14,389,171,27
5,7631,9392,18784,35807,196,79,13,204,73,16,394,161,32
6,7044,5283,16436,28763,200,81,12,195,87,9,390,169,28
7,6457,3522,18197,28176,200,83,11,195,93,6,393,163,31
8,9392,9979,20545,39916,205,73,16,205,71,17,397,155,35
9,8218,6457,19371,34046,202,77,14,193,83,11,395,159,33
10,9979,4696,15849,30524,201,71,17,195,89,8,389,171,27
11,9392,9979,20545,39916,200,73,16,204,71,17,397,155,35
12,5870,8805,14675,29350,194,85,10,203,75,15,387,175,25
13,6457,6457,12914,25828,194,83,11,200,83,11,384,181,22
14,5870,5283,24067,35220,198,85,10,198,87,9,403,143,41
15,8218,7631,19371,35220,202,77,14,196,79,13,395,159,33
16,8805,5870,17610,32285,201,75,15,199,85,10,392,165,30
17,5283,7044,16436,28763,198,87,9,200,81,12,390,169,28
18,8805,4109,18784,31698,203,75,15,196,91,7,394,161,32
19,4109,5283,18784,28176,192,91,7,197,87,9,394,161,32
20,7044,4696,18197,29937,201,81,12,197,89,8,393,163,31
21,8805,6457,21719,36981,204,75,15,200,83,11,399,151,37
22,7044,9979,17023,34046,200,81,12,206,71,17,391,167,29
23,5870,9979,17610,33459,199,85,10,202,71,17,392,165,30
24,7631,5870,17023,30524,202,79,13,198,85,10,391,167,29
25,9392,7631,18197,35220,202,73,16,202,79,13,393,163,31
26,4696,7631,17610,29937,197,89,8,202,79,13,392,165,30
27,6457,7631,17610,31698,198,83,11,199,79,13,392,165,30
28,5283,7631,23480,36394,198,87,9,200,79,13,402,145,40
29,5870,5283,17610,28763,194,85,10,194,87,9,392,165,30
30,7044,10566,17610,35220,200,81,12,206,69,18,392,165,30
31,7044,2935,14088,24067,199,81,12,193,95,5,386,177,24
32,5283,7631,15849,28763,198,87,9,202,79,13,389,171,27
33,8805,8218,18784,35807,202,75,15,203,77,14,394,161,32
34,7044,7044,18197,32285,196,81,12,201,81,12,393,163,31
35,8218,7631,24067,39916,201,77,14,199,79,13,403,143,41
36,8805,6457,22306,37568,202,75,15,198,83,11,400,149,38
37,8805,8805,20545,38155,201,75,15,204,75,15,397,155,35
38,8805,4109,17023,29937,203,75,15,194,91,7,391,167,29
39,7631,8218,17023,32872,198,79,13,200,77,14,391,167,29
40,6457,8218,17023,31698,198,83,11,203,77,14,391,167,29
41,6457,7631,18784,32872,198,83,11,198,79,13,394,161,32
